barcode,id,label,iiif,FILE
Z114800707,459,page459,"https://iiif.onb.ac.at/images/ABO/Z114800707/00459/157,340,1740,2052/full/0/native.jpg",Z114800707_00459_page459_01.jpg
Z114800707,225,page225,"https://iiif.onb.ac.at/images/ABO/Z114800707/00225/897,2168,405,372/full/0/native.jpg",Z114800707_00225_page225_01.jpg
Z114800707,225,page225,"https://iiif.onb.ac.at/images/ABO/Z114800707/00225/841,1483,538,580/full/0/native.jpg",Z114800707_00225_page225_02.jpg
Z114800707,225,page225,"https://iiif.onb.ac.at/images/ABO/Z114800707/00225/306,1300,452,536/full/0/native.jpg",Z114800707_00225_page225_03.jpg
Z114800707,225,page225,"https://iiif.onb.ac.at/images/ABO/Z114800707/00225/232,271,1669,2304/full/0/native.jpg",Z114800707_00225_page225_04.jpg
Z114800707,267,page267,"https://iiif.onb.ac.at/images/ABO/Z114800707/00267/84,181,1947,2485/full/0/native.jpg",Z114800707_00267_page267_01.jpg
Z114800707,365,page365,"https://iiif.onb.ac.at/images/ABO/Z114800707/00365/262,329,1718,2199/full/0/native.jpg",Z114800707_00365_page365_01.jpg
Z114800707,457,page457,"https://iiif.onb.ac.at/images/ABO/Z114800707/00457/161,348,1751,2036/full/0/native.jpg",Z114800707_00457_page457_01.jpg
Z114800707,22,page22,"https://iiif.onb.ac.at/images/ABO/Z114800707/00022/981,1994,560,231/full/0/native.jpg",Z114800707_00022_page22_01.jpg
Z114800707,419,page419,"https://iiif.onb.ac.at/images/ABO/Z114800707/00419/271,325,1720,2196/full/0/native.jpg",Z114800707_00419_page419_01.jpg
Z114800707,173,page173,"https://iiif.onb.ac.at/images/ABO/Z114800707/00173/170,205,1743,2533/full/0/native.jpg",Z114800707_00173_page173_01.jpg
Z114800707,313,page313,"https://iiif.onb.ac.at/images/ABO/Z114800707/00313/928,1589,394,900/full/0/native.jpg",Z114800707_00313_page313_01.jpg
Z114800707,317,page317,"https://iiif.onb.ac.at/images/ABO/Z114800707/00317/14,235,1992,2533/full/0/native.jpg",Z114800707_00317_page317_01.jpg
Z114800707,601,page601,"https://iiif.onb.ac.at/images/ABO/Z114800707/00601/236,295,1799,2214/full/0/native.jpg",Z114800707_00601_page601_01.jpg
Z114800707,487,page487,"https://iiif.onb.ac.at/images/ABO/Z114800707/00487/141,282,1668,2290/full/0/native.jpg",Z114800707_00487_page487_01.jpg
Z114800707,507,page507,"https://iiif.onb.ac.at/images/ABO/Z114800707/00507/274,333,1670,2153/full/0/native.jpg",Z114800707_00507_page507_01.jpg
Z114800707,615,page615,"https://iiif.onb.ac.at/images/ABO/Z114800707/00615/230,322,1691,2180/full/0/native.jpg",Z114800707_00615_page615_01.jpg
Z114800707,597,page597,"https://iiif.onb.ac.at/images/ABO/Z114800707/00597/334,276,1688,2293/full/0/native.jpg",Z114800707_00597_page597_01.jpg
Z114800707,447,page447,"https://iiif.onb.ac.at/images/ABO/Z114800707/00447/264,262,1694,2173/full/0/native.jpg",Z114800707_00447_page447_01.jpg
Z114800707,263,page263,"https://iiif.onb.ac.at/images/ABO/Z114800707/00263/429,238,1548,2330/full/0/native.jpg",Z114800707_00263_page263_01.jpg
Z114800707,343,page343,"https://iiif.onb.ac.at/images/ABO/Z114800707/00343/137,234,1896,1223/full/0/native.jpg",Z114800707_00343_page343_01.jpg
Z114800707,343,page343,"https://iiif.onb.ac.at/images/ABO/Z114800707/00343/137,1441,1911,1299/full/0/native.jpg",Z114800707_00343_page343_02.jpg
Z114800707,299,page299,"https://iiif.onb.ac.at/images/ABO/Z114800707/00299/392,570,1398,1957/full/0/native.jpg",Z114800707_00299_page299_01.jpg
Z114800707,233,page233,"https://iiif.onb.ac.at/images/ABO/Z114800707/00233/989,1948,366,562/full/0/native.jpg",Z114800707_00233_page233_01.jpg
Z114800707,233,page233,"https://iiif.onb.ac.at/images/ABO/Z114800707/00233/449,1234,417,593/full/0/native.jpg",Z114800707_00233_page233_02.jpg
Z114800707,233,page233,"https://iiif.onb.ac.at/images/ABO/Z114800707/00233/945,474,366,422/full/0/native.jpg",Z114800707_00233_page233_03.jpg
Z114800707,233,page233,"https://iiif.onb.ac.at/images/ABO/Z114800707/00233/1468,559,371,425/full/0/native.jpg",Z114800707_00233_page233_04.jpg
Z114800707,233,page233,"https://iiif.onb.ac.at/images/ABO/Z114800707/00233/1476,1985,387,542/full/0/native.jpg",Z114800707_00233_page233_05.jpg
Z114800707,233,page233,"https://iiif.onb.ac.at/images/ABO/Z114800707/00233/1497,1244,335,450/full/0/native.jpg",Z114800707_00233_page233_06.jpg
Z114800707,233,page233,"https://iiif.onb.ac.at/images/ABO/Z114800707/00233/474,1975,415,496/full/0/native.jpg",Z114800707_00233_page233_07.jpg
Z114800707,233,page233,"https://iiif.onb.ac.at/images/ABO/Z114800707/00233/944,1075,359,713/full/0/native.jpg",Z114800707_00233_page233_08.jpg
Z114800707,367,page367,"https://iiif.onb.ac.at/images/ABO/Z114800707/00367/303,278,1589,2293/full/0/native.jpg",Z114800707_00367_page367_01.jpg
Z114800707,207,page207,"https://iiif.onb.ac.at/images/ABO/Z114800707/00207/638,1287,990,1064/full/0/native.jpg",Z114800707_00207_page207_01.jpg
Z114800707,207,page207,"https://iiif.onb.ac.at/images/ABO/Z114800707/00207/611,225,1028,879/full/0/native.jpg",Z114800707_00207_page207_02.jpg
Z114800707,235,page235,"https://iiif.onb.ac.at/images/ABO/Z114800707/00235/872,312,433,596/full/0/native.jpg",Z114800707_00235_page235_01.jpg
Z114800707,235,page235,"https://iiif.onb.ac.at/images/ABO/Z114800707/00235/869,1010,431,582/full/0/native.jpg",Z114800707_00235_page235_02.jpg
Z114800707,235,page235,"https://iiif.onb.ac.at/images/ABO/Z114800707/00235/1384,1036,390,564/full/0/native.jpg",Z114800707_00235_page235_03.jpg
Z114800707,235,page235,"https://iiif.onb.ac.at/images/ABO/Z114800707/00235/248,200,1586,1454/full/0/native.jpg",Z114800707_00235_page235_04.jpg
