barcode,id,label,iiif,FILE
Z119584508,620,page620,"https://iiif.onb.ac.at/images/ABO/Z119584508/00620/174,1585,2170,1064/full/0/native.jpg",Z119584508_00620_page620_01.jpg
Z119584508,365,page365,"https://iiif.onb.ac.at/images/ABO/Z119584508/00365/416,365,1661,2362/full/0/native.jpg",Z119584508_00365_page365_01.jpg
Z119584508,624,page624,"https://iiif.onb.ac.at/images/ABO/Z119584508/00624/211,1272,2280,1418/full/0/native.jpg",Z119584508_00624_page624_01.jpg
Z119584508,689,page689,"https://iiif.onb.ac.at/images/ABO/Z119584508/00689/483,1127,1419,1387/full/0/native.jpg",Z119584508_00689_page689_01.jpg
Z119584508,383,page383,"https://iiif.onb.ac.at/images/ABO/Z119584508/00383/5,161,2324,2828/full/0/native.jpg",Z119584508_00383_page383_01.jpg
Z119584508,616,page616,"https://iiif.onb.ac.at/images/ABO/Z119584508/00616/196,1827,2218,873/full/0/native.jpg",Z119584508_00616_page616_01.jpg
Z119584508,371,page371,"https://iiif.onb.ac.at/images/ABO/Z119584508/00371/13,990,1978,865/full/0/native.jpg",Z119584508_00371_page371_01.jpg
Z119584508,674,page674,"https://iiif.onb.ac.at/images/ABO/Z119584508/00674/712,439,1541,2508/full/0/native.jpg",Z119584508_00674_page674_01.jpg
Z119584508,664,page664,"https://iiif.onb.ac.at/images/ABO/Z119584508/00664/368,274,2078,1168/full/0/native.jpg",Z119584508_00664_page664_01.jpg
Z119584508,664,page664,"https://iiif.onb.ac.at/images/ABO/Z119584508/00664/407,1519,2018,1108/full/0/native.jpg",Z119584508_00664_page664_02.jpg
Z119584508,617,page617,"https://iiif.onb.ac.at/images/ABO/Z119584508/00617/0,1793,2250,892/full/0/native.jpg",Z119584508_00617_page617_01.jpg
Z119584508,693,page693,"https://iiif.onb.ac.at/images/ABO/Z119584508/00693/86,204,2253,2755/full/0/native.jpg",Z119584508_00693_page693_01.jpg
Z119584508,612,page612,"https://iiif.onb.ac.at/images/ABO/Z119584508/00612/140,1189,2239,1454/full/0/native.jpg",Z119584508_00612_page612_01.jpg
Z119584508,2,page2,"https://iiif.onb.ac.at/images/ABO/Z119584508/00002/52,43,643,396/full/0/native.jpg",Z119584508_00002_page2_01.jpg
Z119584508,8,page8,"https://iiif.onb.ac.at/images/ABO/Z119584508/00008/145,197,2211,2794/full/0/native.jpg",Z119584508_00008_page8_01.jpg
Z119584508,665,page665,"https://iiif.onb.ac.at/images/ABO/Z119584508/00665/17,278,2098,1152/full/0/native.jpg",Z119584508_00665_page665_01.jpg
Z119584508,665,page665,"https://iiif.onb.ac.at/images/ABO/Z119584508/00665/54,1462,1993,1220/full/0/native.jpg",Z119584508_00665_page665_02.jpg
Z119584508,538,page538,"https://iiif.onb.ac.at/images/ABO/Z119584508/00538/96,103,2270,2793/full/0/native.jpg",Z119584508_00538_page538_01.jpg
Z119584508,205,page205,"https://iiif.onb.ac.at/images/ABO/Z119584508/00205/1742,1908,228,244/full/0/native.jpg",Z119584508_00205_page205_01.jpg
Z119584508,663,page663,"https://iiif.onb.ac.at/images/ABO/Z119584508/00663/718,282,1400,2470/full/0/native.jpg",Z119584508_00663_page663_01.jpg
Z119584508,361,page361,"https://iiif.onb.ac.at/images/ABO/Z119584508/00361/509,148,1437,2271/full/0/native.jpg",Z119584508_00361_page361_01.jpg
Z119584508,370,page370,"https://iiif.onb.ac.at/images/ABO/Z119584508/00370/438,964,2034,881/full/0/native.jpg",Z119584508_00370_page370_01.jpg
Z119584508,625,page625,"https://iiif.onb.ac.at/images/ABO/Z119584508/00625/9,1586,2231,1063/full/0/native.jpg",Z119584508_00625_page625_01.jpg
Z119584508,606,page606,"https://iiif.onb.ac.at/images/ABO/Z119584508/00606/588,415,1264,906/full/0/native.jpg",Z119584508_00606_page606_01.jpg
Z119584508,505,page505,"https://iiif.onb.ac.at/images/ABO/Z119584508/00505/543,583,1223,758/full/0/native.jpg",Z119584508_00505_page505_01.jpg
Z119584508,505,page505,"https://iiif.onb.ac.at/images/ABO/Z119584508/00505/607,1690,1070,1086/full/0/native.jpg",Z119584508_00505_page505_02.jpg
Z119584508,11,page11,"https://iiif.onb.ac.at/images/ABO/Z119584508/00011/461,1618,1383,657/full/0/native.jpg",Z119584508_00011_page11_01.jpg
Z119584600,457,page457,"https://iiif.onb.ac.at/images/ABO/Z119584600/00457/0,442,2292,835/full/0/native.jpg",Z119584600_00457_page457_01.jpg
Z119584600,457,page457,"https://iiif.onb.ac.at/images/ABO/Z119584600/00457/769,1312,1088,528/full/0/native.jpg",Z119584600_00457_page457_02.jpg
Z119584600,337,page337,"https://iiif.onb.ac.at/images/ABO/Z119584600/00337/74,47,2231,2990/full/0/native.jpg",Z119584600_00337_page337_01.jpg
Z119584600,403,page403,"https://iiif.onb.ac.at/images/ABO/Z119584600/00403/754,1380,878,1132/full/0/native.jpg",Z119584600_00403_page403_01.jpg
Z119584600,475,page475,"https://iiif.onb.ac.at/images/ABO/Z119584600/00475/678,642,1039,1381/full/0/native.jpg",Z119584600_00475_page475_01.jpg
Z119584600,669,page669,"https://iiif.onb.ac.at/images/ABO/Z119584600/00669/218,119,2023,2602/full/0/native.jpg",Z119584600_00669_page669_01.jpg
Z119584600,2,page2,"https://iiif.onb.ac.at/images/ABO/Z119584600/00002/722,1254,975,536/full/0/native.jpg",Z119584600_00002_page2_01.jpg
Z119584600,8,page8,"https://iiif.onb.ac.at/images/ABO/Z119584600/00008/37,109,2338,3057/full/0/native.jpg",Z119584600_00008_page8_01.jpg
Z119584600,240,page240,"https://iiif.onb.ac.at/images/ABO/Z119584600/00240/108,453,2256,1515/full/0/native.jpg",Z119584600_00240_page240_01.jpg
Z119584600,671,page671,"https://iiif.onb.ac.at/images/ABO/Z119584600/00671/308,118,1851,2564/full/0/native.jpg",Z119584600_00671_page671_01.jpg
Z119584600,328,page328,"https://iiif.onb.ac.at/images/ABO/Z119584600/00328/623,1483,1351,850/full/0/native.jpg",Z119584600_00328_page328_01.jpg
Z119584600,448,page448,"https://iiif.onb.ac.at/images/ABO/Z119584600/00448/163,142,2107,2979/full/0/native.jpg",Z119584600_00448_page448_01.jpg
Z119584600,456,page456,"https://iiif.onb.ac.at/images/ABO/Z119584600/00456/149,445,2330,849/full/0/native.jpg",Z119584600_00456_page456_01.jpg
Z119584600,456,page456,"https://iiif.onb.ac.at/images/ABO/Z119584600/00456/758,1359,605,477/full/0/native.jpg",Z119584600_00456_page456_02.jpg
Z119584600,579,page579,"https://iiif.onb.ac.at/images/ABO/Z119584600/00579/31,168,1086,1167/full/0/native.jpg",Z119584600_00579_page579_01.jpg
Z119584600,579,page579,"https://iiif.onb.ac.at/images/ABO/Z119584600/00579/1019,1669,1364,862/full/0/native.jpg",Z119584600_00579_page579_02.jpg
Z119584600,481,page481,"https://iiif.onb.ac.at/images/ABO/Z119584600/00481/1827,837,290,481/full/0/native.jpg",Z119584600_00481_page481_01.jpg
