barcode,id,label,iiif,FILE
Z103536103,2,page2,"https://iiif.onb.ac.at/images/ABO/Z103536103/00002/209,1700,487,283/full/0/native.jpg",Z103536103_00002_page2_01.jpg
Z103536103,181,page181,"https://iiif.onb.ac.at/images/ABO/Z103536103/00181/707,1690,351,276/full/0/native.jpg",Z103536103_00181_page181_01.jpg
Z105559507,193,page193,"https://iiif.onb.ac.at/images/ABO/Z105559507/00193/407,378,1564,1946/full/0/native.jpg",Z105559507_00193_page193_01.jpg
Z105559507,165,page165,"https://iiif.onb.ac.at/images/ABO/Z105559507/00165/433,335,1278,1895/full/0/native.jpg",Z105559507_00165_page165_01.jpg
Z105559507,255,page255,"https://iiif.onb.ac.at/images/ABO/Z105559507/00255/387,375,1463,1881/full/0/native.jpg",Z105559507_00255_page255_01.jpg
Z105559507,45,page45,"https://iiif.onb.ac.at/images/ABO/Z105559507/00045/536,376,1545,2250/full/0/native.jpg",Z105559507_00045_page45_01.jpg
Z105559507,39,page39,"https://iiif.onb.ac.at/images/ABO/Z105559507/00039/528,492,1486,2088/full/0/native.jpg",Z105559507_00039_page39_01.jpg
Z105559507,323,page323,"https://iiif.onb.ac.at/images/ABO/Z105559507/00323/500,556,1444,1537/full/0/native.jpg",Z105559507_00323_page323_01.jpg
Z105559507,283,page283,"https://iiif.onb.ac.at/images/ABO/Z105559507/00283/511,395,1438,1726/full/0/native.jpg",Z105559507_00283_page283_01.jpg
Z105559507,127,page127,"https://iiif.onb.ac.at/images/ABO/Z105559507/00127/265,290,1832,1975/full/0/native.jpg",Z105559507_00127_page127_01.jpg
Z105559507,146,page146,"https://iiif.onb.ac.at/images/ABO/Z105559507/00146/438,977,1543,997/full/0/native.jpg",Z105559507_00146_page146_01.jpg
Z105559507,119,page119,"https://iiif.onb.ac.at/images/ABO/Z105559507/00119/325,623,1636,1711/full/0/native.jpg",Z105559507_00119_page119_01.jpg
Z105559507,319,page319,"https://iiif.onb.ac.at/images/ABO/Z105559507/00319/619,421,1232,1656/full/0/native.jpg",Z105559507_00319_page319_01.jpg
Z105559507,278,page278,"https://iiif.onb.ac.at/images/ABO/Z105559507/00278/434,927,1518,916/full/0/native.jpg",Z105559507_00278_page278_01.jpg
Z105559507,343,page343,"https://iiif.onb.ac.at/images/ABO/Z105559507/00343/0,45,2403,2753/full/0/native.jpg",Z105559507_00343_page343_01.jpg
Z105559507,169,page169,"https://iiif.onb.ac.at/images/ABO/Z105559507/00169/256,380,1469,1995/full/0/native.jpg",Z105559507_00169_page169_01.jpg
Z105559507,233,page233,"https://iiif.onb.ac.at/images/ABO/Z105559507/00233/348,558,1566,1774/full/0/native.jpg",Z105559507_00233_page233_01.jpg
Z105559507,209,page209,"https://iiif.onb.ac.at/images/ABO/Z105559507/00209/325,982,1389,813/full/0/native.jpg",Z105559507_00209_page209_01.jpg
Z105559507,159,page159,"https://iiif.onb.ac.at/images/ABO/Z105559507/00159/198,376,1658,1885/full/0/native.jpg",Z105559507_00159_page159_01.jpg
Z105559507,75,page75,"https://iiif.onb.ac.at/images/ABO/Z105559507/00075/422,383,1475,2215/full/0/native.jpg",Z105559507_00075_page75_01.jpg
Z105559507,115,page115,"https://iiif.onb.ac.at/images/ABO/Z105559507/00115/238,447,1746,1893/full/0/native.jpg",Z105559507_00115_page115_01.jpg
Z105559507,208,page208,"https://iiif.onb.ac.at/images/ABO/Z105559507/00208/494,876,1530,983/full/0/native.jpg",Z105559507_00208_page208_01.jpg
Z105559507,151,page151,"https://iiif.onb.ac.at/images/ABO/Z105559507/00151/316,281,1517,1954/full/0/native.jpg",Z105559507_00151_page151_01.jpg
Z105559507,89,page89,"https://iiif.onb.ac.at/images/ABO/Z105559507/00089/172,448,1643,1991/full/0/native.jpg",Z105559507_00089_page89_01.jpg
Z105559507,261,page261,"https://iiif.onb.ac.at/images/ABO/Z105559507/00261/256,436,1647,1674/full/0/native.jpg",Z105559507_00261_page261_01.jpg
Z105559507,215,page215,"https://iiif.onb.ac.at/images/ABO/Z105559507/00215/385,376,1522,1861/full/0/native.jpg",Z105559507_00215_page215_01.jpg
Z105559507,305,page305,"https://iiif.onb.ac.at/images/ABO/Z105559507/00305/571,362,1242,1782/full/0/native.jpg",Z105559507_00305_page305_01.jpg
Z105559507,86,page86,"https://iiif.onb.ac.at/images/ABO/Z105559507/00086/367,366,1579,1003/full/0/native.jpg",Z105559507_00086_page86_01.jpg
Z105559507,86,page86,"https://iiif.onb.ac.at/images/ABO/Z105559507/00086/406,1519,732,406/full/0/native.jpg",Z105559507_00086_page86_02.jpg
Z105559507,86,page86,"https://iiif.onb.ac.at/images/ABO/Z105559507/00086/1170,2006,757,508/full/0/native.jpg",Z105559507_00086_page86_03.jpg
Z105559507,86,page86,"https://iiif.onb.ac.at/images/ABO/Z105559507/00086/1133,1514,781,503/full/0/native.jpg",Z105559507_00086_page86_04.jpg
Z105559507,221,page221,"https://iiif.onb.ac.at/images/ABO/Z105559507/00221/488,423,1319,1710/full/0/native.jpg",Z105559507_00221_page221_01.jpg
Z105559507,187,page187,"https://iiif.onb.ac.at/images/ABO/Z105559507/00187/396,427,1291,1736/full/0/native.jpg",Z105559507_00187_page187_01.jpg
Z105559507,49,page49,"https://iiif.onb.ac.at/images/ABO/Z105559507/00049/453,447,1466,2131/full/0/native.jpg",Z105559507_00049_page49_01.jpg
Z105559507,2,page2,"https://iiif.onb.ac.at/images/ABO/Z105559507/00002/142,64,624,403/full/0/native.jpg",Z105559507_00002_page2_01.jpg
Z105559507,8,page8,"https://iiif.onb.ac.at/images/ABO/Z105559507/00008/520,1031,1035,999/full/0/native.jpg",Z105559507_00008_page8_01.jpg
Z105559507,71,page71,"https://iiif.onb.ac.at/images/ABO/Z105559507/00071/550,415,1395,2124/full/0/native.jpg",Z105559507_00071_page71_01.jpg
Z105559507,95,page95,"https://iiif.onb.ac.at/images/ABO/Z105559507/00095/505,634,1290,1628/full/0/native.jpg",Z105559507_00095_page95_01.jpg
Z105559507,35,page35,"https://iiif.onb.ac.at/images/ABO/Z105559507/00035/411,467,1532,2181/full/0/native.jpg",Z105559507_00035_page35_01.jpg
Z105559507,237,page237,"https://iiif.onb.ac.at/images/ABO/Z105559507/00237/823,512,942,1652/full/0/native.jpg",Z105559507_00237_page237_01.jpg
