barcode,id,label,iiif,FILE
Z148214904,8,page8,"https://iiif.onb.ac.at/images/ABO/Z148214904/00008/166,114,904,1560/full/0/native.jpg",Z148214904_00008_page8_01.jpg
Z148214904,10,page10,"https://iiif.onb.ac.at/images/ABO/Z148214904/00010/479,562,118,138/full/0/native.jpg",Z148214904_00010_page10_01.jpg
Z148214904,10,page10,"https://iiif.onb.ac.at/images/ABO/Z148214904/00010/429,742,253,254/full/0/native.jpg",Z148214904_00010_page10_02.jpg
Z150909905,337,page337,"https://iiif.onb.ac.at/images/ABO/Z150909905/00337/466,633,1419,1728/full/0/native.jpg",Z150909905_00337_page337_01.jpg
Z150909905,9,page9,"https://iiif.onb.ac.at/images/ABO/Z150909905/00009/817,1266,507,501/full/0/native.jpg",Z150909905_00009_page9_01.jpg
Z151638905,2,page2,"https://iiif.onb.ac.at/images/ABO/Z151638905/00002/790,1056,982,553/full/0/native.jpg",Z151638905_00002_page2_01.jpg
Z151638905,8,page8,"https://iiif.onb.ac.at/images/ABO/Z151638905/00008/944,1166,485,517/full/0/native.jpg",Z151638905_00008_page8_01.jpg
Z151638905,535,page535,"https://iiif.onb.ac.at/images/ABO/Z151638905/00535/941,2534,596,610/full/0/native.jpg",Z151638905_00535_page535_01.jpg
Z15632410X,4,page4,"https://iiif.onb.ac.at/images/ABO/Z15632410X/00004/349,1563,513,346/full/0/native.jpg",Z15632410X_00004_page4_01.jpg
Z15632410X,10,page10,"https://iiif.onb.ac.at/images/ABO/Z15632410X/00010/132,43,921,1551/full/0/native.jpg",Z15632410X_00010_page10_01.jpg
Z160838807,3,page3,"https://iiif.onb.ac.at/images/ABO/Z160838807/00003/0,60,2622,3141/full/0/native.jpg",Z160838807_00003_page3_01.jpg
Z160838807,324,page324,"https://iiif.onb.ac.at/images/ABO/Z160838807/00324/478,412,1576,2271/full/0/native.jpg",Z160838807_00324_page324_01.jpg
Z160838807,76,page76,"https://iiif.onb.ac.at/images/ABO/Z160838807/00076/140,386,2093,2458/full/0/native.jpg",Z160838807_00076_page76_01.jpg
Z164545604,1,page1,"https://iiif.onb.ac.at/images/ABO/Z164545604/00001/117,73,2767,3288/full/0/native.jpg",Z164545604_00001_page1_01.jpg
Z164545604,3,page3,"https://iiif.onb.ac.at/images/ABO/Z164545604/00003/0,62,2528,2989/full/0/native.jpg",Z164545604_00003_page3_01.jpg
Z164545604,207,page207,"https://iiif.onb.ac.at/images/ABO/Z164545604/00207/0,88,2460,3030/full/0/native.jpg",Z164545604_00207_page207_01.jpg
Z164545604,110,page110,"https://iiif.onb.ac.at/images/ABO/Z164545604/00110/1541,1870,667,726/full/0/native.jpg",Z164545604_00110_page110_01.jpg
Z164545604,206,page206,"https://iiif.onb.ac.at/images/ABO/Z164545604/00206/0,101,2419,3025/full/0/native.jpg",Z164545604_00206_page206_01.jpg
Z164545604,208,page208,"https://iiif.onb.ac.at/images/ABO/Z164545604/00208/0,92,2452,3203/full/0/native.jpg",Z164545604_00208_page208_01.jpg
Z164545604,100,page100,"https://iiif.onb.ac.at/images/ABO/Z164545604/00100/1280,1223,997,1190/full/0/native.jpg",Z164545604_00100_page100_01.jpg
Z164545604,105,page105,"https://iiif.onb.ac.at/images/ABO/Z164545604/00105/37,234,2328,2600/full/0/native.jpg",Z164545604_00105_page105_01.jpg
Z164545604,10,page10,"https://iiif.onb.ac.at/images/ABO/Z164545604/00010/1015,1427,308,301/full/0/native.jpg",Z164545604_00010_page10_01.jpg
Z165961401,219,page219,"https://iiif.onb.ac.at/images/ABO/Z165961401/00219/426,734,2158,2224/full/0/native.jpg",Z165961401_00219_page219_01.jpg
Z165961401,277,page277,"https://iiif.onb.ac.at/images/ABO/Z165961401/00277/360,692,2183,2298/full/0/native.jpg",Z165961401_00277_page277_01.jpg
